cliente_id;nombre;porcentaje
13148377;Urbanización Ciudad Jardín;100.0
13151814;Sucre;98.71
13154903;Cataya-El Gran Limonar;100.0
13158020;Urbanización San Juaquín;85.64
13158427;San Vicente;100.0
13158849;Unidad Residencial Santiago de Cali;100.0
13160616;Unicentro Cali;66.33
13162838;El Troncal;54.17
13163068;San Vicente;100.0
13163710;El Jardín;100.0
13169602;San Vicente;100.0
13171511;Chipichape;100.0
13172618;San Pedro;65.58
13172618;Unidad Residencial Santiago de Cali;65.58
13183363;Los Alcázares;100.0
13189717;Ciudad Capri;100.0
13190236;Urbanización Ciudad Jardín;100.0
13195406;San Vicente;100.0
13201627;Calima;75.76
13207717;Unidad Residencial Santiago de Cali;100.0
13208194;Unidad Residencial Santiago de Cali;80.77
13213353;San Pedro;100.0
13222248;Los Guaduales;97.81
13225714;Unicentro Cali;71.64
13228701;Ciudad Capri;99.92
13231356;San Juan Bosco;56.09
13244528;Los Alcázares;100.0
13245278;San Nicolás;95.84
13254542;Santander;100.0
13256150;La Flora;59.5
13282067;Departamental;100.0
13287896;Urbanización San Juaquín;100.0
13304883;Los Alcázares;100.0
13310023;San Nicolás;99.96
13311975;La Hacienda;52.37
13326214;San Vicente;100.0
13332208;Ulpiano Lloreda;53.87
13335185;Villa Colombia;99.68
13340778;Unidad Residencial Santiago de Cali;100.0
13341642;Urbanización Ciudad Jardín;100.0
13345823;Área Libre-Parque del Amor;99.96
13354029;Vipasa;99.97
13358011;La Merced;76.77
13363268;Unicentro Cali;100.0
13367990;El Ingenio;99.95
13371236;Santander;100.0
13382507;San Judas Tadeo II;92.78
13382897;Unicentro Cali;95.99
13385034;Sucre;99.96
13388892;San Fernando Nuevo;99.98
13389500;Urbanización La Flora;83.91
13392879;Calima;99.21
13397690;Juanambu;100.0
13403644;Los Alcázares;100.0
13405425;Los Alcázares;100.0
13406598;Ciudad Los Álamos;89.19
13412629;Unidad Residencial Santiago de Cali;79.39
13413350;El Cedro;80.0
13416143;Urbanización Militar;100.0
13419063;Los Guayacanes;93.87
13419899;Santander;100.0
13421788;El Ingenio;56.46
13422098;Área Libre-Parque del Amor;72.41
13428547;Parcelaciones Pance;55.49
13431863;Urbanización Ciudad Jardín;100.0
13433648;Colseguros Andes;59.09
13434222;Ciudadela Floralia;66.25
13438538;Cristobal Colón;53.49
13439512;El Gran Limonar;97.97
13442423;Calima;52.7
13446607;El Sena;100.0
13447422;San Vicente;62.8
13447948;Barrio Obrero;99.86
13448076;Siete de Agosto;56.85
13450949;Centenario;100.0
13452935;Calima;100.0
13457888;Lili;100.0
13464106;Ciudad Capri;100.0
13468659;Colseguros Andes;100.0
13471415;Chapinero;87.05
13471689;Versalles;51.57
13478952;Urbanización Ciudad Jardín;100.0
13480762;Jorge Eliecer Gaitan;54.69
13490836;Urbanización San Juaquín;66.45
13491918;San Fernando Nuevo;99.95
13493981;San Pedro;100.0
13497836;Chipichape;100.0
13497879;Urbanización San Juaquín;52.65
13498433;Urbanización San Juaquín;100.0
13502155;Urbanización La Flora;100.0
13503090;Parcelaciones Pance;61.65
13504961;Urbanización Ciudad Jardín;100.0
13506328;Santa Teresita;100.0
13506806;Centenario;99.88
13510988;San Fernando Nuevo;99.48
13512635;Nueva Floresta del Ict;100.0
13520017;Lili;51.46
13522941;Ciudad Córdoba;63.41
13523948;Santa Fe;51.65
13527521;Bolivariano;69.55
13534250;Chapinero;98.95
13537841;Urbanización Ciudad Jardín;51.06
13540276;Urbanización La Flora;59.5
13546416;Calima;100.0
13556110;Vipasa;100.0
13567883;San Vicente;99.92
13568693;Santa Rita;100.0
13580553;Parcelaciones Pance;64.3
13593535;Urbanización Ciudad Jardín;100.0
13597844;Villa del Prado-El Guabito;99.98
13599995;Urbanización Tequendama;100.0
13600552;Los Guaduales;94.18
13606650;Lili;55.94
13614645;El Gran Limonar;82.82
13623652;El Gran Limonar;100.0
13632932;San Vicente;100.0
13638052;Santa Rita;100.0
13640584;Sucre;53.26
13645165;Urbanización San Juaquín;100.0
13661037;Urbanización Río Lili;65.61
13670689;San Fernando Viejo;100.0
13672646;Caney;99.95
13673671;El Calvario;100.0
13674291;Granada;90.39
13676044;Parcelaciones Pance;100.0
13683580;Urbanización Militar;97.35
13683692;Lili;60.1
13686239;Unicentro Cali;98.41
13704974;El Jardín;100.0
13714258;Unicentro Cali;94.48
13720957;San Vicente;100.0
13722916;Lili;100.0
13728471;Prados del Norte;100.0
13733309;Ciudad Capri;100.0
13739021;Chapinero;99.98
13742258;Ciudad Capri;65.31
13747821;Villa Colombia;91.22
13749435;Granada;100.0
13751751;Junin;97.71
13754629;El Cedro;93.98
13759626;San Vicente;100.0
13765121;San Pedro;100.0
13765121;Unidad Residencial Santiago de Cali;80.54
13765593;Urbanización Ciudad Jardín;100.0
13767300;El Calvario;98.7
13769780;Mayapan-Las Vegas;65.24
13770823;La Alianza;79.72
13778848;Calima;69.67
13779304;San Pedro;100.0
13800024;Villa del Prado-El Guabito;100.0
13803197;Chapinero;100.0
13808645;Urbanización San Juaquín;100.0
13809941;Unicentro Cali;53.23
13815505;Santander;100.0
13817183;Canaveralejo-Seguros Patria;54.61
13820163;San Pedro;99.73
13831830;Urbanización Militar;54.37
13835693;El Ángel del Hogar;52.71
13844183;Ulpiano Lloreda;64.34
13844317;El Sena;68.94
13846322;Lili;69.9
13857943;Alameda;100.0
13858603;Canaverales Los Samanes;68.55
13865249;Calima;92.08
13865274;San Pedro;99.94
13869225;Nueva Floresta del Ict;100.0
13871767;Ciudad Capri;100.0
13872960;Parque de la Caña;100.0
13878323;Santander;100.0
13891097;San Vicente;52.7
13898459;Prados del Norte;99.22
13901130;Santander;86.83
13903389;San Pedro;100.0
13906258;Santander;100.0
13907923;Santa Anita;99.03
13926891;Urbanización Militar;67.0
13928454;San Pedro;100.0
13929233;Urbanización Río Lili;100.0
13932232;Santa Mónica Residencial;100.0
13940720;Santa Mónica Residencial;68.88
13964015;El Refugio;85.54
13965683;Unicentro Cali;64.93
13967060;Sucre;100.0
13973517;Ciudad Córdoba;99.98
13975103;Bolivariano;99.52
13978264;Urbanización Río Lili;100.0
13978525;Ciudad Córdoba;100.0
13980428;Prados del Norte;92.93
13983077;Santa Anita;100.0
13985087;Urbanización San Juaquín;99.97
13985812;El Sena;100.0
13990236;El Sena;100.0
13990299;San Nicolás;99.29
13999076;Urbanización Río Lili;100.0
14000108;Las Granjas;99.84
14011853;Versalles;97.65
14025136;Unidad Residencial Santiago de Cali;69.92
14025748;Los Guayacanes;100.0
14038655;Mayapan-Las Vegas;100.0
14040386;San Vicente;100.0
14040991;Planta de Tratamiento;100.0
14041262;Chipichape;100.0
14043010;Los Parques;88.03
14043330;Santa Isabel;59.32
14054376;San Vicente;100.0
14056231;Julio Rincón;100.0
14064715;La Flora;100.0
14066428;La Ciudadela Confandi;99.22
14072777;San Pedro;100.0
14075145;Área Libre-Parque del Amor;54.42
14076903;Granada;99.2
14079755;José M. Córdoba;55.5
14085867;Junin;100.0
